Thu Nov 20 03:01:31 2025    d:\Cultura_digital\Preprocesamiento-cienciadatos\codigo_original.prof

         109601 function calls in 70.183 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   70.183   70.183 {built-in method builtins.exec}
        1    0.003    0.003   70.183   70.183 d:\Cultura_digital\Preprocesamiento-cienciadatos\codigo_original.py:1(<module>)
        1    0.150    0.150   70.179   70.179 d:\Cultura_digital\Preprocesamiento-cienciadatos\codigo_original.py:15(find_primes)
   100000   70.000    0.001   70.000    0.001 d:\Cultura_digital\Preprocesamiento-cienciadatos\codigo_original.py:4(is_prime)
     9592    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.len}


